state,year,income_mean,income_median
Johor,2002,2963,2212.0
Johor,2004,3076,2325.0
Johor,2007,3457,2726.0
Johor,2009,3835,2958.0
Johor,2012,4658,3650.0
Johor,2014,6207,5197.0
Johor,2016,6928,5652.0
Johor,2019,8013,6427.0
Johor,2020,7264,5690.0
Johor,2022,8517,6879.0
Kedah,2002,1966,1451.0
Kedah,2004,2126,1607.0
Kedah,2007,2408,1756.0
Kedah,2009,2667,1966.0
Kedah,2012,3425,2633.0
Kedah,2014,4478,3451.0
Kedah,2016,4971,3811.0
Kedah,2019,5522,4325.0
Kedah,2020,5005,3829.0
Kedah,2022,5550,4402.0
Kelantan,2002,1674,1154.0
Kelantan,2004,1829,1258.0
Kelantan,2007,2143,1510.0
Kelantan,2009,2536,1713.0
Kelantan,2012,3168,2276.0
Kelantan,2014,3715,2716.0
Kelantan,2016,4214,3079.0
Kelantan,2019,4874,3563.0
Kelantan,2020,4411,3010.0
Kelantan,2022,4885,3614.0
Melaka,2002,2650,2051.0
Melaka,2004,2791,2308.0
Melaka,2007,3421,2717.0
Melaka,2009,4184,3005.0
Melaka,2012,4759,3923.0
Melaka,2014,6046,5029.0
Melaka,2016,6849,5588.0
Melaka,2019,7741,6054.0
Melaka,2020,7186,5447.0
Melaka,2022,8057,6210.0
Negeri Sembilan,2002,2739,2080.0
Negeri Sembilan,2004,2886,2288.0
Negeri Sembilan,2007,3336,2556.0
Negeri Sembilan,2009,3540,2711.0
Negeri Sembilan,2012,4576,3575.0
Negeri Sembilan,2014,5271,4128.0
Negeri Sembilan,2016,5887,4579.0
Negeri Sembilan,2019,6707,5005.0
Negeri Sembilan,2020,6184,4478.0
Negeri Sembilan,2022,6788,5226.0
Pahang,2002,1991,1423.0
Pahang,2004,2410,1783.0
Pahang,2007,2995,2235.0
Pahang,2009,3279,2479.0
Pahang,2012,3745,3067.0
Pahang,2014,4343,3389.0
Pahang,2016,5012,3979.0
Pahang,2019,5667,4440.0
Pahang,2020,5144,4033.0
Pahang,2022,5777,4753.0
Perak,2002,2153,1613.0
Perak,2004,2207,1732.0
Perak,2007,2545,1905.0
Perak,2009,2809,2094.0
Perak,2012,3548,2665.0
Perak,2014,4268,3451.0
Perak,2016,5065,4006.0
Perak,2019,5645,4273.0
Perak,2020,5081,3759.0
Perak,2022,5779,4494.0
Perlis,2002,2006,1431.0
Perlis,2004,2046,1459.0
Perlis,2007,2541,1746.0
Perlis,2009,2617,1832.0
Perlis,2012,3538,2387.0
Perlis,2014,4445,3500.0
Perlis,2016,4998,4204.0
Perlis,2019,5476,4594.0
Perlis,2020,4971,4043.0
Perlis,2022,5664,4713.0
Pulau Pinang,2002,3496,2572.0
Pulau Pinang,2004,3531,2650.0
Pulau Pinang,2007,4004,2902.0
Pulau Pinang,2009,4407,3200.0
Pulau Pinang,2012,5055,4039.0
Pulau Pinang,2014,5993,4702.0
Pulau Pinang,2016,6771,5409.0
Pulau Pinang,2019,7774,6169.0
Pulau Pinang,2020,6850,5474.0
Pulau Pinang,2022,8267,6502.0
Sabah,2002,2406,1583.0
Sabah,2004,2487,1606.0
Sabah,2007,2837,1189.0
Sabah,2009,3102,2066.0
Sabah,2012,4013,2860.0
Sabah,2014,4879,3745.0
Sabah,2016,5354,4110.0
Sabah,2019,5745,4235.0
Sabah,2020,5215,3773.0
Sabah,2022,6171,4577.0
Sarawak,2002,2515,1704.0
Sarawak,2004,2725,1804.0
Sarawak,2007,3349,2250.0
Sarawak,2009,3581,2394.0
Sarawak,2012,4293,3047.0
Sarawak,2014,4934,3778.0
Sarawak,2016,5387,4163.0
Sarawak,2019,5959,4544.0
Sarawak,2020,5087,3831.0
Sarawak,2022,6457,4978.0
Selangor,2002,4406,3144.0
Selangor,2004,5175,3588.0
Selangor,2007,5580,4046.0
Selangor,2009,5962,4306.0
Selangor,2012,7023,5353.0
Selangor,2014,8252,6214.0
Selangor,2016,9463,7225.0
Selangor,2019,10827,8210.0
Selangor,2020,9668,7300.0
Selangor,2022,12233,9983.0
Terengganu,2002,1837,1331.0
Terengganu,2004,1984,1353.0
Terengganu,2007,2463,1796.0
Terengganu,2009,3017,2096.0
Terengganu,2012,3967,3034.0
Terengganu,2014,4816,3777.0
Terengganu,2016,5776,4694.0
Terengganu,2019,6815,5545.0
Terengganu,2020,6051,4790.0
Terengganu,2022,7248,5878.0
W.P. Kuala Lumpur,2002,4930,3364.0
W.P. Kuala Lumpur,2004,5011,3336.0
W.P. Kuala Lumpur,2007,5322,3697.0
W.P. Kuala Lumpur,2009,5488,4409.0
W.P. Kuala Lumpur,2012,8586,5847.0
W.P. Kuala Lumpur,2014,10629,7620.0
W.P. Kuala Lumpur,2016,11692,9073.0
W.P. Kuala Lumpur,2019,13257,10549.0
W.P. Kuala Lumpur,2020,11728,9093.0
W.P. Kuala Lumpur,2022,13325,10234.0
W.P. Labuan,2007,3726,2777.0
W.P. Labuan,2009,4407,3498.0
W.P. Labuan,2012,6317,5063.0
W.P. Labuan,2014,7591,5684.0
W.P. Labuan,2016,8174,5928.0
W.P. Labuan,2019,8319,6726.0
W.P. Labuan,2020,7333,6126.0
W.P. Labuan,2022,8250,6904.0
W.P. Putrajaya,2007,5294,4288.0
W.P. Putrajaya,2009,6747,5450.0
W.P. Putrajaya,2012,8101,6486.0
W.P. Putrajaya,2014,10401,7512.0
W.P. Putrajaya,2016,11555,8275.0
W.P. Putrajaya,2019,12840,9983.0
W.P. Putrajaya,2020,12322,9743.0
W.P. Putrajaya,2022,13473,10056.0
